,Pharyngeal Mesoderm/Neural Crest_corr,Pharyngeal Mesoderm/Neural Crest_pval,Pharyngeal Mesoderm/Neural Crest_qval,Pharyngeal Mesoderm/Neural Crest_ci_low,Pharyngeal Mesoderm/Neural Crest_ci_high,gene_annotation
ENSMUSG00000097207,-0.040330494779109397,3.500418214061684e-11,6.323003825164984e-11,-0.05224489838709108,-0.028404611395805798,6030443J06Rik
ENSMUSG00000011658,-0.04033194225003145,3.4947840283603545e-11,6.313290961982446e-11,-0.05224634425885474,-0.028406060055216786,Fuz
ENSMUSG00000047248,-0.040333611998325046,3.4882956648256806e-11,6.302033492479773e-11,-0.05224801216235702,-0.028407731174568983,C2cd3
ENSMUSG00000026111,-0.040334136956977254,3.486258199659631e-11,6.298816051073902e-11,-0.05224853654100438,-0.0284082565642874,Unc50
ENSMUSG00000097259,-0.040337440834884816,3.4734619176132127e-11,6.27615815434498e-11,-0.052251836768444714,-0.028411563155302966,Gm26766
ENSMUSG00000052675,-0.04033781551718532,3.4720136368520574e-11,6.274003003752979e-11,-0.052252211036740895,-0.028411938145304908,Zfp112
ENSMUSG00000028161,-0.040339981561743635,3.46365267690633e-11,6.259355257132651e-11,-0.052254374687867776,-0.028414105968756112,Ppp3ca
ENSMUSG00000029772,-0.04034341312696997,3.450447106278849e-11,6.235949749971167e-11,-0.0522578024610613,-0.028417540352430656,Ahcyl2
ENSMUSG00000041343,-0.04034696190301672,3.4368423004017804e-11,6.211819210796858e-11,-0.052261347315256744,-0.028421092043490543,Ankrd42
ENSMUSG00000035509,-0.040347790058783056,3.433674993730137e-11,6.206551457414586e-11,-0.05226217455576186,-0.02842192087955868,Fbxl21
ENSMUSG00000047193,-0.04035037254194138,3.423816539186737e-11,6.189187429694652e-11,-0.05226475418470634,-0.028424505484244394,Dync2h1
ENSMUSG00000057286,-0.040351126514502525,3.420943527454576e-11,6.184449266332726e-11,-0.05226550732393142,-0.028425260076229173,St6galnac2
ENSMUSG00000044139,-0.0403543336126673,3.408749219884688e-11,6.162857941576499e-11,-0.05226871087726592,-0.028428469809326586,Prss53
ENSMUSG00000106906,-0.0403555608074226,3.4040943343071486e-11,6.154895360181834e-11,-0.05226993671552855,-0.0284296980124028,Gm34728
ENSMUSG00000054892,-0.040356471309546095,3.400644719113127e-11,6.149110998944286e-11,-0.05227084621119572,-0.028430609262660927,Txk
ENSMUSG00000025912,-0.04035654899820982,3.400350538874694e-11,6.149031923875044e-11,-0.052270923813982566,-0.028430687015160213,Mybl1
ENSMUSG00000000817,-0.0403588383545325,3.3916927051581136e-11,6.133827290589423e-11,-0.05227321063959118,-0.02843297825267604,Fasl
ENSMUSG00000107728,-0.04035949584690773,3.389210205824245e-11,6.129789242975828e-11,-0.05227386740513413,-0.028433636285344257,Gm43949
ENSMUSG00000086501,-0.04035981688084362,3.387998721504995e-11,6.128049551376944e-11,-0.05227418808417573,-0.028433957583092875,4930597A21Rik
ENSMUSG00000044005,-0.040362764842465135,3.376893805897885e-11,6.108413521137912e-11,-0.05227713278679091,-0.02843690796734542,Gls2
ENSMUSG00000027550,-0.040364563289643024,3.370136590998068e-11,6.096639668595975e-11,-0.05227892924566249,-0.028438707892586918,Lrrcc1
ENSMUSG00000032816,-0.040366706087590874,3.362102837263002e-11,6.082554628286877e-11,-0.05228106967450003,-0.02844085245170589,Igdcc4
ENSMUSG00000097172,-0.04036789201688645,3.3576646239318245e-11,6.074972870064418e-11,-0.05228225429256692,-0.028442039355766998,4930444M15Rik
ENSMUSG00000040629,-0.04036877190307966,3.3543754494818464e-11,6.069469086570734e-11,-0.05228313320588786,-0.028442919965197662,Mael
