,Mesenchyme_2_corr,Mesenchyme_2_pval,Mesenchyme_2_qval,Mesenchyme_2_ci_low,Mesenchyme_2_ci_high,gene_annotation
ENSMUSG00000018882,-0.07024637570850843,4.1101658027181065e-98,7.38972636231231e-98,-0.0767709961305956,-0.06371573921429866,Mrpl45
ENSMUSG00000051515,-0.07026845802920866,3.574210911461764e-98,6.427280905343938e-98,-0.07679305716097837,-0.06373784095289706,Fam181b
ENSMUSG00000024661,-0.07032486108686567,2.5009501919787202e-98,4.502160561617858e-98,-0.07684940580952802,-0.06379429363717502,Fth1
ENSMUSG00000023045,-0.07050116534291771,8.176415782953416e-99,1.4724321597250882e-98,-0.07702553972524397,-0.06397075328524826,Soat2
ENSMUSG00000030695,-0.07055669119379104,5.746332643374456e-99,1.0355618387771593e-98,-0.0770810118442399,-0.06402632816036098,Aldoa
ENSMUSG00000027227,-0.070582496205925,4.877129662658024e-99,8.790788865641716e-99,-0.07710679187134258,-0.06405215596974285,Sord
ENSMUSG00000029001,-0.07065461381415845,3.0829567576862577e-99,5.5618920398453144e-99,-0.07717883960731907,-0.06412433733613492,Fbxo44
ENSMUSG00000049409,-0.07066817657591139,2.8280210996077107e-99,5.1028890285234765e-99,-0.07719238922096888,-0.0641379120961673,Prokr1
ENSMUSG00000033126,-0.07080405091154421,1.1900144436745672e-99,2.148816257989468e-99,-0.07732813170338784,-0.06427390676623197,Ybey
ENSMUSG00000054582,-0.07082831301435309,1.0194087943128186e-99,1.841085053842909e-99,-0.07735237023666607,-0.06429819038181647,Pabpc1l
ENSMUSG00000027489,-0.07088001750434748,7.329157397741561e-100,1.3239084894764382e-99,-0.07740402447236785,-0.06434994074306502,Necab3
ENSMUSG00000053656,-0.07099947614553224,3.416502135261835e-100,6.178123210238399e-100,-0.07752336687152504,-0.06446950550002992,Dancr
ENSMUSG00000070034,-0.0710830286526712,2.0017345366500324e-100,3.621737898769735e-100,-0.0776068379648296,-0.06455313233875107,Sp110
ENSMUSG00000092417,-0.0710897545427391,1.9173642900859908e-100,3.470342606490481e-100,-0.07761355729719085,-0.0645598642164228,Gpank1
ENSMUSG00000069814,-0.07115143505480108,1.2915582957294301e-100,2.339355724921989e-100,-0.07767517764344631,-0.06462159966617848,Ccdc92b
ENSMUSG00000032026,-0.07126815240061153,6.109476640407349e-101,1.107792681850834e-100,-0.07779178100177529,-0.06473842110675339,Rexo2
ENSMUSG00000018543,-0.0713222299633273,4.3170939681466326e-101,7.830752708410362e-101,-0.0778458056912292,-0.06479254695940027,1700001P01Rik
ENSMUSG00000030663,-0.0713477832780664,3.663428995153811e-101,6.646279018784126e-101,-0.07787133400839362,-0.06481812310598653,1110004F10Rik
ENSMUSG00000021650,-0.07135858776286637,3.417679187136597e-101,6.201559040349477e-101,-0.07788212792111429,-0.0648289372471574,Ptcd2
ENSMUSG00000041544,-0.07149431933372889,1.4272405510030591e-101,2.593568146471123e-101,-0.07801772654971816,-0.06496479025703877,Ptchd2
ENSMUSG00000051980,-0.07150933420121036,1.2956895060914836e-101,2.3553708527385628e-101,-0.07803272669606418,-0.06497981857318864,Casr
ENSMUSG00000032057,-0.07151152027345299,1.2775732380059116e-101,2.322860432738021e-101,-0.07803491062475382,-0.06498200660372158,4833427G06Rik
ENSMUSG00000033610,-0.07155804613937843,9.46658848545151e-102,1.7215109084290794e-101,-0.07808139085489889,-0.06502857416254997,Pank1
ENSMUSG00000028179,-0.07157765092852664,8.342731232245143e-102,1.5182404426287794e-101,-0.0781009764058243,-0.06504819652851902,Cth
ENSMUSG00000026088,-0.07161269309889633,6.655289638950878e-102,1.2113741607118452e-101,-0.07813598417669111,-0.06508327012878874,Mitd1
ENSMUSG00000071342,-0.07173997339016433,2.926105024242976e-102,5.328910989333411e-102,-0.07826313938663113,-0.0652106647155653,Lsmem1
ENSMUSG00000026127,-0.07183426247072468,1.5903889043232003e-102,2.9000527066433266e-102,-0.0783573356702507,-0.06530503860333184,Imp4
ENSMUSG00000073910,-0.07187158996222434,1.2490553714443976e-102,2.2788822686451332e-102,-0.07839462639279053,-0.06534239970087827,Mob3b
ENSMUSG00000004565,-0.07195103331461064,7.466135551665203e-103,1.3626821594570547e-102,-0.07847399142976995,-0.06542191463727917,Pnpla6
ENSMUSG00000034566,-0.07195558876306779,7.248917689956896e-103,1.323278147126122e-102,-0.07847854238495086,-0.06542647419302751,Atp5h
ENSMUSG00000034449,-0.07196505898164249,6.817320639672541e-103,1.2449453322995876e-102,-0.07848800326168534,-0.06543595295102933,Dhrs11
ENSMUSG00000107121,-0.07200971126147,5.103476731451448e-103,9.32823383559029e-103,-0.07853261147870928,-0.06548064551031069,1110006O24Rik
