,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000039670,0.38200947951162817,0.0,0.0,0.37639271489316256,0.3875981634852554,Oxld1
ENSMUSG00000030509,0.3819417386091324,0.0,0.0,0.3763246361554173,0.3875307636963568,Asb7
ENSMUSG00000001773,0.3819095383676586,0.0,0.0,0.3762922753472047,0.3874987255802826,Folh1
ENSMUSG00000017299,0.38189401621786545,0.0,0.0,0.3762766758009943,0.3874832815783333,Dnttip1
ENSMUSG00000024059,0.38181648721558,0.0,0.0,0.3761987602719075,0.38740614285673597,Clip4
ENSMUSG00000084128,0.38180029664964005,0.0,0.0,0.37618248899668505,0.38739003378416126,Esrp2
ENSMUSG00000060032,0.38174598707450436,0.0,0.0,0.3761279087159332,0.3873359975451434,H2afj
ENSMUSG00000028969,0.3816790727746132,0.0,0.0,0.37606066093589396,0.3872694199672154,Cdk5
ENSMUSG00000012117,0.38166647888121497,0.0,0.0,0.3760480042850492,0.38725688944150216,Dhdds
ENSMUSG00000032625,0.3816128634439599,0.0,0.0,0.375994121696695,0.3872035437536377,Thsd7a
ENSMUSG00000030681,0.38160822381905973,0.0,0.0,0.3759894589555958,0.3871989274698069,Mvp
ENSMUSG00000022297,0.38152744700917357,0.0,0.0,0.3759082797336018,0.387118556987748,Fzd6
ENSMUSG00000039849,0.3815167378237669,0.0,0.0,0.37589751720388964,0.3871079016658794,Pcif1
ENSMUSG00000032477,0.38141575660134835,0.0,0.0,0.3757960330510731,0.38700742827102375,Cdc25a
ENSMUSG00000053070,0.38140638282910977,0.0,0.0,0.3757866126002096,0.3869981016321006,9230110C19Rik
ENSMUSG00000037239,0.3813870285425954,0.0,0.0,0.37576716193872345,0.38697884465942467,Spred3
ENSMUSG00000004263,0.38134743046731007,0.0,0.0,0.3757273666996327,0.3869394456690573,Atn1
ENSMUSG00000003352,0.38131109612973796,0.0,0.0,0.3756908514670509,0.3869032939895379,Cacnb3
ENSMUSG00000037278,0.38124708563698234,0.0,0.0,0.3756265223325632,0.3868396052451136,Tmem97
ENSMUSG00000024556,0.3812140890016828,0.0,0.0,0.3755933614624577,0.3868067744463495,Me2
ENSMUSG00000035805,0.3810425804736258,0.0,0.0,0.37542099951342195,0.3866361276681255,Mlc1
ENSMUSG00000045757,0.38103163697109094,0.0,0.0,0.37541000156956283,0.3866252391385532,Zfp764
ENSMUSG00000024873,0.38100867099558433,0.0,0.0,0.3753869213489335,0.3866023885239397,Cnih2
ENSMUSG00000020733,0.3810051477854335,0.0,0.0,0.37538338061305593,0.38659888301069506,Slc9a3r1
ENSMUSG00000025213,0.38099097677620913,0.0,0.0,0.37536913911374276,0.38658478318010003,Kazald1
ENSMUSG00000015027,0.3808186657326113,0.0,0.0,0.3751959711649618,0.3864133374170892,Galns
ENSMUSG00000035215,0.3807760772560587,0.0,0.0,0.37515317095581957,0.386370962744095,Lsm7
ENSMUSG00000022159,0.3807261107937112,0.0,0.0,0.37510295611110167,0.38632124709431387,Rab2b
ENSMUSG00000006335,0.3806118066835674,0.0,0.0,0.3749880839214149,0.3862075166249153,Tfpt
ENSMUSG00000005362,0.3805004040197578,0.0,0.0,0.3748761277641303,0.3860966728770909,Crbn
ENSMUSG00000003379,0.38043115315188103,0.0,0.0,0.37480653291262545,0.3860277693648482,Cd79a
ENSMUSG00000034771,0.3803781434818597,0.0,0.0,0.37475325997525566,0.3859750255439916,Tle2
ENSMUSG00000032076,0.3803214213037981,0.0,0.0,0.3746962561331733,0.3859185877931946,Cadm1
ENSMUSG00000012296,0.380122291603366,0.0,0.0,0.37449613795566367,0.38572045627552626,Tjap1
ENSMUSG00000051111,0.38008810562841616,0.0,0.0,0.3744617823347217,0.3856864416135938,Sv2c
