,Neural crest_corr,Neural crest_pval,Neural crest_qval,Neural crest_ci_low,Neural crest_ci_high,gene_annotation
ENSMUSG00000110218,0.19288387440464422,0.0,0.0,0.18655993427576112,0.19919183116981318,Gm20219
ENSMUSG00000016481,0.19286917595228734,0.0,0.0,0.18654519919181403,0.1991771704729208,Cr1l
ENSMUSG00000028028,0.192841958388803,0.0,0.0,0.18651791380403154,0.1991500228149031,Alpk1
ENSMUSG00000030309,0.19280346839478127,0.0,0.0,0.18647932791224245,0.1991116316618802,Caprin2
ENSMUSG00000059395,0.1927811291465259,0.0,0.0,0.18645693301472843,0.19908934977117634,Nkapl
ENSMUSG00000073565,0.19276112104875026,0.0,0.0,0.1864368750803978,0.1990693930400266,Prr16
ENSMUSG00000031672,0.19275349934011968,0.0,0.0,0.18642923438885528,0.19906179089717013,Got2
ENSMUSG00000022912,0.19274753516632587,0.0,0.0,0.18642325536100124,0.19905584203354457,Pros1
ENSMUSG00000022838,0.1926785621056151,0.0,0.0,0.18635411055361586,0.198987045994455,Eaf2
ENSMUSG00000102422,0.1926563417616863,0.0,0.0,0.18633183489316432,0.1989648826665253,Gm21949
ENSMUSG00000035873,0.19265086264584058,0.0,0.0,0.1863263421383114,0.19895941760875294,Pawr
ENSMUSG00000036292,0.19263389129456823,0.0,0.0,0.186309328543246,0.1989424897993341,Gramd1c
ENSMUSG00000020263,0.19259612064895382,0.0,0.0,0.18627146389543628,0.1989048160449205,Appl2
ENSMUSG00000028456,0.19250775065774153,0.0,0.0,0.1861828740456354,0.1988166726721051,Unc13b
ENSMUSG00000021359,0.19249134637524468,0.0,0.0,0.18616642896170543,0.1988003104459623,Tfap2a
ENSMUSG00000056458,0.1924688059868296,0.0,0.0,0.18614383251565234,0.19877782783955952,Mok
ENSMUSG00000034858,0.192381987583072,0.0,0.0,0.1860567982582274,0.19869123193168176,Fam214a
ENSMUSG00000068329,0.19237071135243144,0.0,0.0,0.18604549399915865,0.19867998459223452,Htra2
ENSMUSG00000028708,0.19232716899204175,0.0,0.0,0.1860018434247095,0.19863655377752884,Mknk1
ENSMUSG00000022245,0.19231929504955628,0.0,0.0,0.1859939499161004,0.19862870000365837,Skor1
ENSMUSG00000053886,0.1922903117151162,0.0,0.0,0.18596489456740312,0.19859979090124968,Sh2d4a
ENSMUSG00000078640,0.19211370754811494,0.0,0.0,0.18578785183496127,0.1984236388150554,Gm11627
ENSMUSG00000044349,0.19205894178899377,0.0,0.0,0.18573295015812735,0.19836901316545252,Snhg11
ENSMUSG00000017747,0.19204986799536383,0.0,0.0,0.18572385384896203,0.19835996258190056,Ghdc
ENSMUSG00000079419,0.1920289897454246,0.0,0.0,0.1857029237962563,0.19833913773285924,Ms4a6c
ENSMUSG00000097429,0.19190330883121842,0.0,0.0,0.18557693116594182,0.19821377815595503,Gm26520
ENSMUSG00000046836,0.19184838280404767,0.0,0.0,0.18552186897555012,0.1981589924972239,Brox
ENSMUSG00000046178,0.191845525317559,0.0,0.0,0.1855190044063564,0.1981561423122218,Nxph1
ENSMUSG00000026851,0.19183698398395205,0.0,0.0,0.18551044190242558,0.19814762280290532,BC005624
ENSMUSG00000068114,0.19183536676280827,0.0,0.0,0.18550882067298835,0.1981460097138782,Ccdc134
