,Neural Crest/Mid-HindBrain_1_corr,Neural Crest/Mid-HindBrain_1_pval,Neural Crest/Mid-HindBrain_1_qval,Neural Crest/Mid-HindBrain_1_ci_low,Neural Crest/Mid-HindBrain_1_ci_high,gene_annotation
ENSMUSG00000076434,0.01802790295668599,0.0030805000102829888,0.0033685073923269424,0.00608965271502347,0.029961015001071244,Wfdc3
ENSMUSG00000022372,0.018022711809459867,0.0030890330333954675,0.003377468875350391,0.006084460072990879,0.0299558268272376,Sla
ENSMUSG00000027669,0.017927329164030975,0.003249704670605334,0.003552366277443522,0.005989050076435783,0.029860498700766014,Gnb4
ENSMUSG00000033342,0.017910379403500105,0.003279040630016091,0.003584042660417631,0.005972095478278351,0.029843558605689845,Plppr5
ENSMUSG00000055435,0.017893278360755174,0.003308882698315396,0.0036162652440605418,0.005954989561685374,0.029826467307719984,Maf
ENSMUSG00000037025,0.017876297718190343,0.0033387592072056786,0.0036481197631180926,0.005938004086500115,0.02980949633441761,Foxa2
ENSMUSG00000060268,0.017875561633974954,0.003340059844833318,0.003649142188171439,0.005937267792953995,0.029808760669194002,Gm1661
ENSMUSG00000046080,0.017858371672019795,0.0033705654707671035,0.0036820684627125884,0.0059200729461259686,0.029791580488384112,Clec9a
ENSMUSG00000032946,0.017796330779044838,0.0034827861002943573,0.0038042447845924167,0.005858014481704177,0.029729574838239004,Rasgrp2
ENSMUSG00000054966,0.017775977793349433,0.003520335028257777,0.003844839480403863,0.005837655751594412,0.02970923339421478,Lmntd1
ENSMUSG00000032011,0.017683727062675215,0.0036951878324108464,0.004034928840806778,0.0057453791082165105,0.029617034852702933,Thy1
ENSMUSG00000040732,0.017677368827685617,0.003707525335458116,0.004047958658650634,0.005739019094724536,0.029610680207288364,Erg
ENSMUSG00000027605,0.017648772778574413,0.003763477255287904,0.004108599623676751,0.005710415058770517,0.0295821002903022,Acss2
ENSMUSG00000046546,0.01758291138227833,0.0038952740049375536,0.004252018343999076,0.0056445353417776106,0.02951627597471912,Fam43a
ENSMUSG00000034833,0.017494438878309686,0.004078916078562216,0.004451507234052402,0.005556038390475107,0.029427853118872884,Tespa1
ENSMUSG00000048191,0.017475727277361006,0.004118748275050685,0.004494487423669451,0.005537321642964944,0.02940915199438748,Muc6
ENSMUSG00000028843,0.017411735005186082,0.004257653274092982,0.0046450504845003075,0.005473311833155221,0.02934519548779085,Sh3bgrl3
ENSMUSG00000049313,0.01739779703776587,0.00428846554371974,0.004678155932933065,0.005459370058889541,0.029331265297406716,Sorl1
ENSMUSG00000026678,0.01729879572914203,0.004513207872568293,0.004921709784698247,0.005360341843824483,0.029232319095633074,Rgs5
