,Forebrain/Midbrain/Hindbrain_2_corr,Forebrain/Midbrain/Hindbrain_2_pval,Forebrain/Midbrain/Hindbrain_2_qval,Forebrain/Midbrain/Hindbrain_2_ci_low,Forebrain/Midbrain/Hindbrain_2_ci_high,gene_annotation
ENSMUSG00000078144,0.10769471102430739,6.706130832404411e-229,7.962131834092224e-229,0.10120621316177851,0.1141740474094237,Capns2
ENSMUSG00000024401,0.10767161346578756,8.404236534389588e-229,9.977795715296574e-229,0.10118308393173431,0.11415098344121752,Tnf
ENSMUSG00000074213,0.10766964165951275,8.567727157173293e-229,1.0171405500842256e-228,0.10118110942203068,0.11414901450217724,Gm10642
ENSMUSG00000027380,0.10763702178329192,1.1783252894012204e-228,1.398812615094225e-228,0.10114844483001391,0.1141164420516456,Acoxl
ENSMUSG00000017221,0.10763369657051665,1.2172253346958124e-228,1.4449217433376003e-228,0.1011451150597748,0.11411312167257923,Psmd3
ENSMUSG00000022544,0.10762609773719814,1.3110041897649041e-228,1.5560925727390827e-228,0.10113750581220739,0.11410553388479192,Eef2kmt
ENSMUSG00000027111,0.10758600200448584,1.9393013455094158e-228,2.3017367608501972e-228,0.10109735514061201,0.11406549642201737,Itga6
ENSMUSG00000025792,0.10758079880995887,2.0403592695746965e-228,2.4215643054380987e-228,0.10109214481825492,0.11406030078759566,Slc25a10
ENSMUSG00000043639,0.10747493566209348,5.732233707992805e-228,6.802213726372129e-228,0.10098613672628494,0.11395459137914409,Rbm20
ENSMUSG00000050357,0.10743980718297187,8.073980975816216e-228,9.580609004796275e-228,0.1009509601830412,0.11391951388282211,Carmil2
ENSMUSG00000036598,0.10743702045132521,8.296348156849142e-228,9.843994778028231e-228,0.10094816963917679,0.1139167311949339,Ccdc113
ENSMUSG00000096914,0.10740795800839835,1.1013387796923712e-227,1.3067254491377324e-227,0.10091906744523756,0.11388771091775178,Galntl6
ENSMUSG00000006345,0.10735925312120059,1.7702438488115854e-227,2.1001704264808915e-227,0.10087029596539417,0.1138390766700831,Ggt1
ENSMUSG00000046828,0.10735556221544588,1.8350527843737432e-227,2.176952839289918e-227,0.10086660001445247,0.11383539111619766,Mettl21e
ENSMUSG00000038732,0.10734160179847223,2.1023607105581337e-227,2.493944057864584e-227,0.10085262051627224,0.1138214509404271,Mboat1
ENSMUSG00000084807,0.10731240855952204,2.793713436688876e-227,3.3137471519196716e-227,0.10082338738405719,0.11379230002049621,Gm13073
ENSMUSG00000087187,0.10726778378279227,4.313783410463516e-227,5.11652223641064e-227,0.10077870164814828,0.11374773991104435,Gm13431
ENSMUSG00000036918,0.10715803126236334,1.2547454508361533e-226,1.4880934358481904e-226,0.1006687993128896,0.11363814632580736,Ttc7
