,timepoint,weight,marginal,celltype
437,13.75,150,target_marginals,Aidpocytes
438,13.75,1000,target_marginals,B_cells
439,13.75,200,target_marginals,Cardiocytes
440,13.75,500,target_marginals,Endothelium
441,13.75,500,target_marginals,Eye_and_other
442,13.75,50,target_marginals,Extraembryonic_visceral_endoderm
443,13.75,150,target_marginals,Ependymal_cells
444,13.75,1000,target_marginals,Glands
445,13.75,1000,target_marginals,Gut
446,13.75,1000,target_marginals,Intermediate_mesoderm_and_kidney
447,13.75,40,target_marginals,Hepatocytes
448,13.75,300,target_marginals,Cardiocytes
449,13.75,25,target_marginals,Intermediate_neuronal_progenitors
450,13.75,1000,target_marginals,Intestine
451,13.75,700,target_marginals,Mast_cells
452,13.75,300,target_marginals,Lung_and_airways
453,13.75,300,target_marginals,Megakaryocytes
454,13.75,300,target_marginals,Neural_crest_PNS_glia
455,13.75,1000,target_marginals,Aidpocytes
456,13.75,40,target_marginals,Neural_crest_PNS_neurons
457,13.75,500,target_marginals,Primitive_erythroid
458,13.75,8,target_marginals,Muscle_cells
459,13.75,1000,target_marginals,Primordial_germ_cells
460,13.75,1000,target_marginals,T_cells
461,13.75,1000,target_marginals,Testis_and_adrenal
462,13.75,400,target_marginals,Olidendrocytes
463,13.75,90,target_marginals,Olfactory_sensory_neurons
464,14.0,90,target_marginals,Aidpocytes
465,14.0,100,target_marginals,B_cells
466,14.0,5/6,target_marginals,CNS_neurons
467,14.0,1,target_marginals,Definitive_erythroid
468,14.0,2,target_marginals,Epithelial_cells
469,14.0,20,target_marginals,Eye_and_other
470,14.0,2,target_marginals,Glands
471,14.0,35,target_marginals,Gut
472,14.0,2,target_marginals,Intermediate_mesoderm_and_kidney
473,14.0,2,target_marginals,Intermediate_neuronal_progenitors
474,14.0,2,target_marginals,Lung_and_airways
475,14.0,7,target_marginals,Mast_cells
476,14.0,3,target_marginals,Megakaryocytes
477,14.0,1/4,target_marginals,Mesoderm
478,14.0,1/4,target_marginals,Muscle_cells
479,14.0,3,target_marginals,Neural_crest_PNS_glia
480,14.0,3/2,target_marginals,Neuroectoderm_and_glia
481,14.0,4,target_marginals,Olfactory_sensory_neurons
482,14.0,500,target_marginals,Primordial_germ_cells
483,14.0,200,target_marginals,Primitive_erythroid
484,14.0,80,target_marginals,T_cells
485,14.0,60,target_marginals,Testis_and_adrenal
486,14.25,40,target_marginals,Aidpocytes
487,14.25,30,target_marginals,B_cells
488,14.25,3/4,target_marginals,CNS_neurons
489,14.25,150,target_marginals,Cardiocytes
490,14.25,1/2,target_marginals,Definitive_erythroid
491,14.25,3,target_marginals,Endothelium
492,14.25,7,target_marginals,Ependymal_cells
493,14.25,3,target_marginals,Epithelial_cells
494,14.25,9,target_marginals,Eye_and_other
495,14.25,50,target_marginals,Glands
496,14.25,50,target_marginals,Gut
497,14.25,8,target_marginals,Intermediate_mesoderm_and_kidney
498,14.25,8,target_marginals,Intestine
499,14.25,14,target_marginals,Lung_and_airways
500,14.25,6,target_marginals,Mast_cells
501,14.25,5/2,target_marginals,Megakaryocytes
502,14.25,7/8,target_marginals,Mesoderm
503,14.25,2,target_marginals,Muscle_cells
504,14.25,5,target_marginals,Neural_crest_PNS_glia
505,14.25,5,target_marginals,Neural_crest_PNS_neurons
506,14.25,7/8,target_marginals,Neuroectoderm_and_glia
507,14.25,100,target_marginals,Primordial_germ_cells
508,14.25,20,target_marginals,T_cells
509,14.25,800,target_marginals,Testis_and_adrenal
510,14.25,7/8,target_marginals,White_blood_cells
511,14.33,20,target_marginals,Aidpocytes
512,14.33,7,target_marginals,B_cells
513,14.33,50,target_marginals,Cardiocytes
514,14.33,3/4,target_marginals,CNS_neurons
515,14.33,4,target_marginals,Endothelium
516,14.33,2/3,target_marginals,Definitive_erythroid
517,14.33,2,target_marginals,Ependymal_cells
518,14.33,3,target_marginals,Epithelial_cells
519,14.33,10,target_marginals,Eye_and_other
520,14.33,20,target_marginals,Glands
521,14.33,50,target_marginals,Gut
522,14.33,5,target_marginals,Intermediate_mesoderm_and_kidney
523,14.33,6,target_marginals,Intestine
524,14.33,8,target_marginals,Lung_and_airways
525,14.33,9,target_marginals,Mast_cells
526,14.33,2,target_marginals,Megakaryocytes
527,14.33,2/3,target_marginals,Mesoderm
528,14.33,8,target_marginals,Neural_crest_PNS_glia
529,14.33,10,target_marginals,Neural_crest_PNS_neurons
530,14.33,3/4,target_marginals,Neuroectoderm_and_glia
531,14.33,3,target_marginals,Olidendrocytes
532,14.33,3,target_marginals,Olfactory_sensory_neurons
533,14.33,120,target_marginals,Primitive_erythroid
534,14.33,120,target_marginals,Primordial_germ_cells
535,14.33,65,target_marginals,T_cells
536,14.33,65,target_marginals,Testis_and_adrenal
537,14.33,1/2,target_marginals,White_blood_cells
538,14.75,7,target_marginals,Aidpocytes
539,14.75,3,target_marginals,B_cells
540,14.75,2/3,target_marginals,CNS_neurons
541,14.75,2,target_marginals,Cardiocytes
542,14.75,1/2,target_marginals,Definitive_erythroid
543,14.75,3,target_marginals,Ependymal_cells
544,14.75,2,target_marginals,Epithelial_cells
545,14.75,8,target_marginals,Eye_and_other
546,14.75,70,target_marginals,Glands
547,14.75,15,target_marginals,Gut
548,14.75,7,target_marginals,Intermediate_mesoderm_and_kidney
549,14.75,6,target_marginals,Intestine
550,14.75,3/2,target_marginals,Lung_and_airways
551,14.75,10,target_marginals,Mast_cells
552,14.75,3,target_marginals,Megakaryocytes
553,14.75,7/8,target_marginals,Mesoderm
554,14.75,1,target_marginals,Muscle_cells
555,14.75,8,target_marginals,Neural_crest_PNS_glia
556,14.75,2,target_marginals,Neural_crest_PNS_neurons
557,14.75,1,target_marginals,Neuroectoderm_and_glia
558,14.75,5,target_marginals,Olfactory_sensory_neurons
559,14.75,5,target_marginals,Olidendrocytes
560,14.75,1000,target_marginals,Primitive_erythroid
561,14.75,160,target_marginals,Primordial_germ_cells
562,14.75,40,target_marginals,T_cells
563,14.75,45,target_marginals,Testis_and_adrenal
564,14.75,2,target_marginals,White_blood_cells
565,15.0,14,target_marginals,Aidpocytes
566,15.0,8,target_marginals,B_cells
567,15.0,1/2,target_marginals,CNS_neurons
568,15.0,10,target_marginals,Cardiocytes
569,15.0,3/4,target_marginals,Definitive_erythroid
570,15.0,4,target_marginals,Endothelium
571,15.0,14,target_marginals,Ependymal_cells
572,15.0,2,target_marginals,Epithelial_cells
573,15.0,4,target_marginals,Eye_and_other
574,15.0,60,target_marginals,Glands
575,15.0,15,target_marginals,Gut
576,15.0,3,target_marginals,Intermediate_mesoderm_and_kidney
577,15.0,4,target_marginals,Intestine
578,15.0,2,target_marginals,Lung_and_airways
579,15.0,7,target_marginals,Mast_cells
580,15.0,3/4,target_marginals,Megakaryocytes
581,15.0,6/8,target_marginals,Mesoderm
582,15.0,2,target_marginals,Muscle_cells
583,15.0,9,target_marginals,Neural_crest_PNS_glia
584,15.0,7/8,target_marginals,Neuroectoderm_and_glia
585,15.0,4,target_marginals,Olfactory_sensory_neurons
