,Cardiac_2_corr,Cardiac_2_pval,Cardiac_2_qval,Cardiac_2_ci_low,Cardiac_2_ci_high,gene_annotation
ENSMUSG00000054106,0.39815501856877117,0.0,0.0,0.3899438151022765,0.4063029088437632,Try4
ENSMUSG00000075197,0.39813415005795305,0.0,0.0,0.3899227861090625,0.4062822028836356,Olfr1046
ENSMUSG00000022066,0.39812236331494716,0.0,0.0,0.3899109087277839,0.40627050794718267,Gm21685
ENSMUSG00000025738,0.3981220462852131,0.0,0.0,0.3899105892601768,0.40627019338674586,Fbxl16
ENSMUSG00000085542,0.3981034929333386,0.0,0.0,0.3898918932414807,0.40625178454079675,1700037C06Rik
ENSMUSG00000097134,0.39803012793074777,0.0,0.0,0.3898179641617615,0.4061789908891731,1110002J07Rik
ENSMUSG00000048234,0.3980119795048049,0.0,0.0,0.38979967621542744,0.40616098378333804,Rnf149
ENSMUSG00000098098,0.398003254604242,0.0,0.0,0.3897908842423978,0.4061523268205131,Bvht
ENSMUSG00000022816,0.39800243407217,0.0,0.0,0.3897900574025819,0.40615151267756106,Fstl1
ENSMUSG00000038415,0.397974119417121,0.0,0.0,0.389761525090061,0.40612341848826916,Foxq1
ENSMUSG00000055128,0.39797397118654276,0.0,0.0,0.3897613757200616,0.40612327141181476,Cgrrf1
ENSMUSG00000100891,0.39796662502190094,0.0,0.0,0.3897539730873442,0.40611598244391045,2810049E08Rik
ENSMUSG00000085411,0.39793353926686226,0.0,0.0,0.38972063302378224,0.40608315427945463,Gm14319
ENSMUSG00000047907,0.3979307548015018,0.0,0.0,0.3897178271570429,0.4060803914917106,Tshz2
ENSMUSG00000078160,0.3979249642014888,0.0,0.0,0.38971199205101187,0.40607464597219284,Gm16503
ENSMUSG00000028933,0.3979178919748066,0.0,0.0,0.3897048654687418,0.4060676288027448,Xrcc2
ENSMUSG00000027978,0.3979175334310116,0.0,0.0,0.38970450416928376,0.40606727305018503,Prss12
ENSMUSG00000048368,0.39790708745559655,0.0,0.0,0.3896939779102588,0.40605690839478376,Omd
ENSMUSG00000038738,0.3978291159747952,0.0,0.0,0.38961540723947546,0.4059795438415073,Shank1
ENSMUSG00000028523,0.3977838732893909,0.0,0.0,0.3895698169309457,0.4059346532701685,Tctex1d1
ENSMUSG00000090538,0.3977781675488033,0.0,0.0,0.3895640673530387,0.40592899193333676,Gm4775
ENSMUSG00000035085,0.3977571741146325,0.0,0.0,0.3895429126314035,0.4059081618708764,1700020L24Rik
ENSMUSG00000039579,0.3977535920383769,0.0,0.0,0.38953930303579015,0.40590460766962994,Grin3a
ENSMUSG00000039316,0.39771470563085626,0.0,0.0,0.38950011789906513,0.40586602385257714,Rftn1
ENSMUSG00000037344,0.3977143364024569,0.0,0.0,0.3894997458343594,0.40586565749715026,Slc12a9
ENSMUSG00000032310,0.39768057062742546,0.0,0.0,0.3894657206916928,0.405832154443118,Cyp1a2
ENSMUSG00000034926,0.397665921873716,0.0,0.0,0.38945095942236274,0.4058176196599937,Dhcr24
ENSMUSG00000108236,0.3976493490504047,0.0,0.0,0.3894342593099314,0.4058011757719887,0610033M10Rik
ENSMUSG00000000861,0.3976449640996289,0.0,0.0,0.3894298406810345,0.4057968249349138,Bcl11a
ENSMUSG00000064125,0.3976437323706476,0.0,0.0,0.38942859949196534,0.40579560278837595,Prr36
ENSMUSG00000073572,0.39756648777513615,0.0,0.0,0.389350761691902,0.4057189590719873,Gm10542
ENSMUSG00000096945,0.39756525687594374,0.0,0.0,0.3893495213408945,0.4057177377469267,Gm26546
ENSMUSG00000075198,0.39754714653017587,0.0,0.0,0.38933127193304806,0.40569976826297466,Olfr1045
ENSMUSG00000097377,0.3975163329434065,0.0,0.0,0.3893002217559329,0.40566919432902776,Gm10822
ENSMUSG00000092210,0.39750468169065234,0.0,0.0,0.3892884810483539,0.40565763368919555,A930009A15Rik
ENSMUSG00000014778,0.39750106949989955,0.0,0.0,0.3892848411248258,0.4056540495902706,Fhod1
ENSMUSG00000085162,0.3974926555947156,0.0,0.0,0.3892763626224586,0.4056457011186368,Gm12295
ENSMUSG00000041161,0.39748524265323393,0.0,0.0,0.38926889276977794,0.4056383458252487,Otud3
ENSMUSG00000045204,0.3974721952732492,0.0,0.0,0.3892557452240787,0.4056253999080331,Olfr835
ENSMUSG00000012640,0.39747169542743876,0.0,0.0,0.389255241540981,0.4056249039492016,Zfp715
ENSMUSG00000085892,0.3974580320871623,0.0,0.0,0.38924147330993963,0.40561134685806327,Gm15339
ENSMUSG00000022300,0.39739798326409814,0.0,0.0,0.3891809635474438,0.4055517649453235,Dcaf13
ENSMUSG00000051896,0.39739324551891253,0.0,0.0,0.3891761894379761,0.40554706403558183,Tex37
ENSMUSG00000041777,0.39737595370001566,0.0,0.0,0.38915876490049517,0.40552990665500144,Cir1
ENSMUSG00000040086,0.3973673315752135,0.0,0.0,0.3891500766011504,0.40552135156229285,Tnni3k
ENSMUSG00000097305,0.3973653169858293,0.0,0.0,0.3891480465500654,0.40551935263498406,Gm17276
ENSMUSG00000024472,0.39736394635961214,0.0,0.0,0.3891466654045232,0.40551799266441796,Dcp2
ENSMUSG00000105387,0.39736238719156974,0.0,0.0,0.3891450942701739,0.4055164456177622,Gm42590
ENSMUSG00000059486,0.3973608932862198,0.0,0.0,0.38914358889944023,0.4055149633263856,Kbtbd2
ENSMUSG00000078937,0.39735875400872755,0.0,0.0,0.3891414332035563,0.40551284068006765,Cpt1b
ENSMUSG00000066750,0.39735681187929994,0.0,0.0,0.3891394761688744,0.4055109136490693,Olfr876
ENSMUSG00000102063,0.39725122039004124,0.0,0.0,0.38903307440861445,0.4054061429360909,Gm28706
ENSMUSG00000079580,0.3972463746527055,0.0,0.0,0.38902819149210033,0.4054013348601556,Tmem217
ENSMUSG00000056656,0.3972448776888738,0.0,0.0,0.3890266830428271,0.4053998495307375,Apol8
ENSMUSG00000110042,0.3972018315144716,0.0,0.0,0.38898330661589264,0.40535713789308786,Gm4224
ENSMUSG00000040663,0.39719671326431677,0.0,0.0,0.38897814910067524,0.4053520594174509,Clcf1
ENSMUSG00000069722,0.3971912496769394,0.0,0.0,0.3889726435995219,0.4053466382876917,Krtap3-3
ENSMUSG00000111033,0.39718666419498244,0.0,0.0,0.3889680229406061,0.40534208843914,RP24-473A18.3
ENSMUSG00000103037,0.3971836024675909,0.0,0.0,0.38896493772578106,0.4053390505039566,Pcdhgb1
ENSMUSG00000079389,0.3971309874772591,0.0,0.0,0.38891191913880685,0.4052868443484003,Gm3149
ENSMUSG00000060647,0.397129145897827,0.0,0.0,0.3889100634340582,0.40528501707764736,Gm7099
ENSMUSG00000110211,0.39706798574929236,0.0,0.0,0.38884843421171267,0.4052243320933949,Gm45482
ENSMUSG00000053044,0.39706253706555195,0.0,0.0,0.3888429437423218,0.40521892573797935,Cd8b1
ENSMUSG00000068742,0.39706221029551453,0.0,0.0,0.3888426144663218,0.40521860150645034,Cry2
ENSMUSG00000021379,0.39705717194094264,0.0,0.0,0.38883753747344285,0.4052136022920049,Id4
ENSMUSG00000089942,0.39703206394267904,0.0,0.0,0.38881223693353983,0.405188689336304,Pira2
ENSMUSG00000004994,0.39700662945042214,0.0,0.0,0.38878660740855225,0.40516345241051127,Ccdc130
ENSMUSG00000039539,0.3970051137944337,0.0,0.0,0.38878508013085317,0.40516194852722937,Sgcz
ENSMUSG00000100616,0.39700438543796285,0.0,0.0,0.38878434618952407,0.40516122582817893,Gm28076
ENSMUSG00000020432,0.39699232542701024,0.0,0.0,0.3887721937068909,0.40514925949041514,Tcn2
ENSMUSG00000069718,0.3969861649994648,0.0,0.0,0.38876598604458096,0.40514314691140724,Gm11563
ENSMUSG00000041377,0.3969705378377387,0.0,0.0,0.3887502390657359,0.4051276411238352,Ninj2
ENSMUSG00000032178,0.39695203862202694,0.0,0.0,0.3887315980184004,0.40510928558308573,Ilf3
ENSMUSG00000030209,0.39693848891243666,0.0,0.0,0.38871794442882124,0.4050958411037312,Grin2b
ENSMUSG00000100795,0.39683508877560114,0.0,0.0,0.3886137516850396,0.4049932438805265,Gm29208
ENSMUSG00000024055,0.39683041370256206,0.0,0.0,0.38860904078050384,0.40498860510509815,Cyp4f13
ENSMUSG00000033068,0.39681047353657367,0.0,0.0,0.3885889477905013,0.4049688197513085,Entpd6
ENSMUSG00000042078,0.3968071611707508,0.0,0.0,0.3885856100390352,0.40496553310141403,Svop
ENSMUSG00000104846,0.39680182719595486,0.0,0.0,0.3885802351856387,0.40496024053709423,Gm43020
ENSMUSG00000097235,0.3967484279980593,0.0,0.0,0.3885264267769634,0.4049072558753688,Gm17250
ENSMUSG00000031016,0.3967329996749724,0.0,0.0,0.3885108802334011,0.4048919473116305,Wee1
ENSMUSG00000009741,0.39670697851084064,0.0,0.0,0.38848465969110263,0.4048661281213471,Ubp1
ENSMUSG00000027248,0.3966933181618595,0.0,0.0,0.38847089467975393,0.4048525737975122,Pdia3
ENSMUSG00000023367,0.3966878170403941,0.0,0.0,0.3884653514110316,0.4048471153721283,Tmem176a
ENSMUSG00000020455,0.396668664677078,0.0,0.0,0.38844605231508256,0.40482811165230503,Trim11
ENSMUSG00000074695,0.3966676262477021,0.0,0.0,0.38844500593015957,0.40482708128208655,Il22
ENSMUSG00000085378,0.39666264493976827,0.0,0.0,0.3884399864600507,0.4048221386333496,Gm11415
ENSMUSG00000041886,0.396656226373628,0.0,0.0,0.38843351872151155,0.4048157698800524,Macc1
ENSMUSG00000028107,0.39662792251877604,0.0,0.0,0.3884049980415331,0.404787685674705,Tars2
ENSMUSG00000042757,0.3966092591867738,0.0,0.0,0.3883861917454226,0.4047691671693801,Tmem108
ENSMUSG00000042262,0.39660432282196295,0.0,0.0,0.3883812175684132,0.40476426910943486,Ccr8
ENSMUSG00000029766,0.3965703860105082,0.0,0.0,0.3883470208164013,0.4047305956258505,1700012A03Rik
ENSMUSG00000054417,0.3965532470081562,0.0,0.0,0.3883297505456855,0.40471358960274334,Cyp3a44
ENSMUSG00000093380,0.3965363403814286,0.0,0.0,0.3883127144360288,0.4046968141467586,Gm20685
ENSMUSG00000109503,0.3965311799789771,0.0,0.0,0.38830751451267786,0.4046916937804028,Gm44786
ENSMUSG00000035186,0.3965194227825329,0.0,0.0,0.3882956672757979,0.4046800277982359,Ubd
ENSMUSG00000092413,0.39648556931125706,0.0,0.0,0.3882615545588067,0.4046464369529619,Olfr115
ENSMUSG00000045328,0.3964830799810925,0.0,0.0,0.3882590461665477,0.404643966933473,Cenpe
ENSMUSG00000107933,0.3964567471900877,0.0,0.0,0.3882325117391439,0.4046178384085956,Gm30498
ENSMUSG00000059763,0.3964502725744249,0.0,0.0,0.3882259875479086,0.4046114140151415,Taar2
ENSMUSG00000075379,0.3964297658158278,0.0,0.0,0.3882053237762739,0.40459106631776814,Olfr358
ENSMUSG00000043020,0.3964263794902793,0.0,0.0,0.38820191152361744,0.40458770625756735,Wdr63
ENSMUSG00000026435,0.3963945435803882,0.0,0.0,0.3881698318758673,0.40455611726568425,Slc45a3
ENSMUSG00000110947,0.39638139765068503,0.0,0.0,0.38815658530585984,0.40454307328958977,Olfr1333
ENSMUSG00000020396,0.3962720752790428,0.0,0.0,0.3880464261348131,0.40443459864188247,Nefh
ENSMUSG00000101153,0.39624636884391373,0.0,0.0,0.38802052296594974,0.40440909151009885,4933404I11Rik
ENSMUSG00000002546,0.3962234426435681,0.0,0.0,0.38799742132022774,0.4043863430470794,Golga2
ENSMUSG00000027635,0.3962192616403589,0.0,0.0,0.38799320832252654,0.40438219445636575,Dsn1
ENSMUSG00000086021,0.3962163120096966,0.0,0.0,0.3879902361204704,0.4043792676919967,Gm15767
