,Gut_corr,Gut_pval,Gut_qval,Gut_ci_low,Gut_ci_high,gene_annotation
ENSMUSG00000001506,-0.19860022778600164,0.0,0.0,-0.2048932870499726,-0.19229074972160742,Col1a1
ENSMUSG00000020467,-0.19874131358687253,0.0,0.0,-0.205033999764334,-0.1924321979039163,Efemp1
ENSMUSG00000023966,-0.19877741842013896,0.0,0.0,-0.2050700090803779,-0.19246839551523165,Rsph9
ENSMUSG00000043065,-0.19881709051558424,0.0,0.0,-0.2051095762015791,-0.19250816957526332,Spice1
ENSMUSG00000033491,-0.1988198025809249,0.0,0.0,-0.2051122810899153,-0.19251088861186802,Prss35
ENSMUSG00000066595,-0.19885661533097831,0.0,0.0,-0.20514899641198572,-0.19254779599732103,Mfsd7b
ENSMUSG00000024617,-0.19902420949201555,0.0,0.0,-0.2053161467973944,-0.1927158212221978,Camk2a
ENSMUSG00000029217,-0.19904604465164535,0.0,0.0,-0.20533792411228127,-0.19273771257061592,Tec
ENSMUSG00000020400,-0.19905526356205983,0.0,0.0,-0.20534711859849383,-0.19274695520609497,Tnip1
ENSMUSG00000026385,-0.1990947746808041,0.0,0.0,-0.2053865250255252,-0.19278656802023408,Dbi
ENSMUSG00000002908,-0.1991034633689126,0.0,0.0,-0.20539519068867795,-0.19279527907441488,Kcnn1
ENSMUSG00000020776,-0.199194671782761,0.0,0.0,-0.2054861573414059,-0.19288672233330575,Fbf1
ENSMUSG00000032021,-0.19925579463670584,0.0,0.0,-0.20554711811952917,-0.1929480026287766,Crtam
ENSMUSG00000028278,-0.19930425121630505,0.0,0.0,-0.20559544617501518,-0.19299658405881537,Rragd
ENSMUSG00000039831,-0.1993434751196151,0.0,0.0,-0.20563456602008723,-0.19303590904683027,Arhgap29
ENSMUSG00000026796,-0.19938248512588083,0.0,0.0,-0.2056734725156274,-0.1930750196066609,Fam129b
ENSMUSG00000036273,-0.19940267829140418,0.0,0.0,-0.20569361209197867,-0.1930952648306713,Lrrk2
ENSMUSG00000055943,-0.19942399042258638,0.0,0.0,-0.20571486765866748,-0.19311663191088738,Emc7
ENSMUSG00000035877,-0.19942719926399038,0.0,0.0,-0.2057180679829765,-0.19311984902616025,Zhx3
ENSMUSG00000047514,-0.19942925318755148,0.0,0.0,-0.20572011645482263,-0.19312190824575204,Tspyl1
ENSMUSG00000027263,-0.19953290358323428,0.0,0.0,-0.20582349166039546,-0.19322582597556814,Tubgcp4
ENSMUSG00000057322,-0.19956811887150233,0.0,0.0,-0.20585861342069486,-0.19326113212298365,Rpl38
ENSMUSG00000038648,-0.19965131823229823,0.0,0.0,-0.20594159174868049,-0.19334454621176178,Creb3l2
ENSMUSG00000052981,-0.19968302429423568,0.0,0.0,-0.20597321355443565,-0.19337633412739136,Ube2ql1
ENSMUSG00000054364,-0.19970118491700334,0.0,0.0,-0.20599132591096453,-0.19339454164034425,Rhob
ENSMUSG00000029384,-0.19975281990964733,0.0,0.0,-0.20604282364760368,-0.19344630997672985,2010109A12Rik
ENSMUSG00000030220,-0.19975436858961096,0.0,0.0,-0.20604436821033206,-0.19344786265659314,Arhgdib
ENSMUSG00000028007,-0.19983773400912386,0.0,0.0,-0.20612751195287773,-0.19353144343726314,Snx7
ENSMUSG00000027778,-0.19987904605602147,0.0,0.0,-0.20616871411326676,-0.19357286224111162,Ift80
ENSMUSG00000097545,-0.1998974166819985,0.0,0.0,-0.20618703586778728,-0.19359128034695122,Mir124a-1hg
ENSMUSG00000029372,-0.19990265756601636,0.0,0.0,-0.20619226280864994,-0.19359653477712824,Ppbp
ENSMUSG00000034684,-0.19991281096821692,0.0,0.0,-0.20620238919712253,-0.19360671442394645,Sema3f
ENSMUSG00000020273,-0.19993802754608545,0.0,0.0,-0.20622753867896432,-0.1936319961877566,Papolg
ENSMUSG00000021457,-0.1999706222017361,0.0,0.0,-0.2062600465947579,-0.19366467511440763,Syk
ENSMUSG00000029455,-0.19998061546515145,0.0,0.0,-0.2062700132616389,-0.19367469421744743,Aldh2
ENSMUSG00000025036,-0.2000389555920833,0.0,0.0,-0.2063281980934051,-0.19373318522095195,Sfxn2
ENSMUSG00000028419,-0.20009820105154838,0.0,0.0,-0.20638728580228813,-0.19379258394419743,Chmp5
ENSMUSG00000028478,-0.2000990396975954,0.0,0.0,-0.20638812221497566,-0.19379342476009384,Clta
ENSMUSG00000024666,-0.2001167347536019,0.0,0.0,-0.20640577014595463,-0.1938111656011104,Tmem138
ENSMUSG00000021835,-0.20011689951384387,0.0,0.0,-0.20640593446739208,-0.19381133078768006,Bmp4
ENSMUSG00000033373,-0.2001420847117401,0.0,0.0,-0.206431052585593,-0.19383658115809427,Fntb
ENSMUSG00000042501,-0.20015349499739693,0.0,0.0,-0.20644243247771457,-0.1938480209732512,Cpa6
ENSMUSG00000036613,-0.20021801922342178,0.0,0.0,-0.20650678479878617,-0.19391271221843528,Tssc1
ENSMUSG00000029512,-0.200252376776275,0.0,0.0,-0.20654105079430984,-0.19394715872722926,Ulk1
ENSMUSG00000029053,-0.20030376605032188,0.0,0.0,-0.20659230309544932,-0.19399868108346258,Prkcz
ENSMUSG00000022223,-0.20033470919836793,0.0,0.0,-0.20662316375102088,-0.1940297043813856,Sdr39u1
ENSMUSG00000039191,-0.20045830557529848,0.0,0.0,-0.206746430503031,-0.1941536210271753,Rbpj
ENSMUSG00000079109,-0.20052368032965465,0.0,0.0,-0.20681163082569767,-0.19421916526508895,Pms2
ENSMUSG00000059839,-0.20053602120480882,0.0,0.0,-0.20682393876689442,-0.19423153814018504,Zfp874b
ENSMUSG00000038175,-0.20056438806913857,0.0,0.0,-0.2068522299213412,-0.1942599785675198,Mylip
ENSMUSG00000041986,-0.20060957301539503,0.0,0.0,-0.20689729424929673,-0.19430528071253528,Elmod1
ENSMUSG00000000339,-0.200635982568872,0.0,0.0,-0.20692363329181918,-0.19433175877842168,Rtca
ENSMUSG00000042444,-0.20070646049183727,0.0,0.0,-0.2069939230009278,-0.1944024195821749,Fam63b
ENSMUSG00000027408,-0.2007368846645669,0.0,0.0,-0.20702426590473952,-0.1944329227217826,Cpxm1
