,Somitic mesoderm_corr,Somitic mesoderm_pval,Somitic mesoderm_qval,Somitic mesoderm_ci_low,Somitic mesoderm_ci_high,gene_annotation
ENSMUSG00000028273,-0.04480883583092133,6.334552773935884e-41,6.728864217055326e-41,-0.05135373834251753,-0.03826008449396633,Pdlim5
ENSMUSG00000050377,-0.044912672903060134,4.165339515787769e-41,4.425562596459593e-41,-0.05145750986008696,-0.038363978237668905,Il31ra
ENSMUSG00000030737,-0.04493103868631921,3.8672712985915017e-41,4.1093096361614085e-41,-0.05147586403392408,-0.03838235405922845,Slco2b1
ENSMUSG00000001366,-0.04495660630752577,3.4873247919775203e-41,3.7059774622502874e-41,-0.05150141548590418,-0.03840793566246374,Fbxo9
ENSMUSG00000020307,-0.04511704264940204,1.820073277020384e-41,1.934807353056643e-41,-0.05166175017060828,-0.03856845993723425,Cdc34
ENSMUSG00000039377,-0.04517034753600704,1.4656794134747106e-41,1.5582387980807046e-41,-0.051715021207002033,-0.038621794114299286,Hlx
ENSMUSG00000039543,-0.04522763428083476,1.1610219999199126e-41,1.2344731524932618e-41,-0.05177227153149668,-0.038679112379170794,Cfap70
ENSMUSG00000042842,-0.04534866210065892,7.089605800691605e-42,7.538925777000856e-42,-0.051893222265842795,-0.038800206932045264,Serpinb6b
ENSMUSG00000085591,-0.04540783711140082,5.5676950281229437e-42,5.921190075638566e-42,-0.05195235951673499,-0.038859414641074,Gm13479
ENSMUSG00000020067,-0.045424898943074936,5.19267400219197e-42,5.522946183994863e-42,-0.05196941045265006,-0.03887648590913048,Mypn
ENSMUSG00000026414,-0.04544960097816221,4.693809128796479e-42,4.99288280905912e-42,-0.051994096706150246,-0.03890120161293862,Tnnt2
ENSMUSG00000032370,-0.04554404514300866,3.1885528159367014e-42,3.3920774637624485e-42,-0.052088480458948073,-0.03899569811176962,Lactb
ENSMUSG00000049044,-0.045695506380042474,1.712202687554617e-42,1.8218798548144468e-42,-0.05223984456835824,-0.03914724352197723,Rapgef4
ENSMUSG00000040177,-0.04569844179936177,1.6916590537285915e-42,1.8002118268900625e-42,-0.052242778102309394,-0.039150180575604175,2310057M21Rik
ENSMUSG00000018973,-0.04570440490570797,1.6506779563571726e-42,1.7567879484431383e-42,-0.05224873737830963,-0.039156147002284515,Hoxb1
ENSMUSG00000075394,-0.045774972581894315,1.2345793029541214e-42,1.314081216555744e-42,-0.05231925969061013,-0.03922675400691679,Hoxc4
ENSMUSG00000053916,-0.045804984719093854,1.090968092696695e-42,1.1613456383826857e-42,-0.05234925251495554,-0.03925678289015881,Nanp
ENSMUSG00000030148,-0.045830380575365766,9.82513692050783e-43,1.0460062728103727e-42,-0.05237463201973476,-0.039282192925939464,Clec4a2
ENSMUSG00000032845,-0.0459100914310417,7.070442962629367e-43,7.528154772816617e-43,-0.05245429149750426,-0.03936194834233958,Alpk2
ENSMUSG00000022099,-0.04595569754203943,5.8557245602024306e-43,6.235464338411703e-43,-0.052499868175469776,-0.03940757998602534,Dmtn
ENSMUSG00000011263,-0.04607552013622431,3.5653786068717e-43,3.796995321482109e-43,-0.05261961330926888,-0.0395274697933152,Exoc3l2
ENSMUSG00000001349,-0.04616535306113409,2.4558072739984652e-43,2.6156217637644747e-43,-0.05270938803744878,-0.03961735323262773,Cnn1
ENSMUSG00000025794,-0.04633829523672553,1.1956555273269839e-43,1.2735998373742906e-43,-0.05288221787756352,-0.039790392954578424,Rpl14
ENSMUSG00000038403,-0.046461854742064,7.137777895479831e-44,7.604706899083561e-44,-0.053005696884091714,-0.03991402239299757,Hfe2
ENSMUSG00000025158,-0.046475852083273095,6.73201435602152e-44,7.173163938222184e-44,-0.05301968509343777,-0.03992802766916244,Rfng
ENSMUSG00000060843,-0.04647590976690302,6.730390595125554e-44,7.172197991395518e-44,-0.053019742739429596,-0.039928085385497976,Ctnna3
ENSMUSG00000024742,-0.046524758300014395,5.486250085976577e-44,5.847010642626641e-44,-0.05306855938360985,-0.039976961630558076,Fen1
ENSMUSG00000054435,-0.04656790334484155,4.579285881128881e-44,4.880927180909061e-44,-0.05311167623680199,-0.04002013117778432,Gimap4
ENSMUSG00000044086,-0.046659470913047264,3.1189090715035324e-44,3.3250629760165595e-44,-0.05320318389251014,-0.04011175082889873,Lmod3
ENSMUSG00000040283,-0.0467093909032943,2.528910498568114e-44,2.696354087395366e-44,-0.05325307117390691,-0.04016169925961567,Btnl9
ENSMUSG00000058396,-0.04671133369545165,2.5083449150297515e-44,2.67471200152458e-44,-0.05325501269243696,-0.04016364315928419,Gpr182
ENSMUSG00000038683,-0.04701618497197451,6.936147042783252e-45,7.397767750408758e-45,-0.05355966350607209,-0.040468668833880866,Pak1ip1
ENSMUSG00000030579,-0.04705410266408534,5.907821337454545e-45,6.301676093284848e-45,-0.05359755617924003,-0.04050660830312568,Tyrobp
ENSMUSG00000030470,-0.047058755342624686,5.792580711237452e-45,6.17941189592218e-45,-0.053602205786539764,-0.040511263655121886,Csrp3
ENSMUSG00000036160,-0.04715909962031361,3.785784175528722e-45,4.0390314472727214e-45,-0.05370248375778255,-0.04061166566040812,Surf6
ENSMUSG00000032656,-0.047234051534380435,2.753764512108477e-45,2.938289065416642e-45,-0.05377738605830399,-0.04068666078023001,March3
ENSMUSG00000054622,-0.047273392791689996,2.3296179564116985e-45,2.485986507749118e-45,-0.053816701244659156,-0.04072602474518537,D730045B01Rik
ENSMUSG00000039254,-0.04737945869421749,1.4829891790280685e-45,1.5826992305529013e-45,-0.05392269675757778,-0.04083215196986992,Pomt1
ENSMUSG00000053886,-0.04739783357429208,1.3712384254920819e-45,1.4635910187769048e-45,-0.05394105942835581,-0.04085053748842169,Sh2d4a
ENSMUSG00000042286,-0.04744911156148433,1.1017709803958884e-45,1.1761005341544497e-45,-0.053992303320182275,-0.04090184518740541,Stab1
ENSMUSG00000024803,-0.04751041347183199,8.479306353180719e-46,9.05231808816133e-46,-0.05405356442490535,-0.04096318266297804,Ankrd1
ENSMUSG00000062593,-0.04751219739129536,8.414891113700353e-46,8.984508983237618e-46,-0.054055347156164966,-0.04096496761814803,Lilrb4a
ENSMUSG00000001661,-0.04756443159095493,6.730098063501373e-46,7.18720425405956e-46,-0.05410754654603557,-0.041017232162426094,Hoxc6
ENSMUSG00000027905,-0.04789307606930211,1.6410217874806065e-46,1.7528538640040657e-46,-0.05443597118959054,-0.041346068383373416,Ddx20
ENSMUSG00000025916,-0.04791208394247097,1.5119480591245483e-46,1.6151565635343961e-46,-0.054454966304826005,-0.04136508738978374,Ppp1r42
ENSMUSG00000025094,-0.04799295238539898,1.0666360991866096e-46,1.1396902438151616e-46,-0.05453578041656606,-0.04144600325179521,Slc18a2
ENSMUSG00000005686,-0.04803604379423317,8.85468848949436e-47,9.462159103969182e-47,-0.054578842839577646,-0.041489119963346976,Ampd3
ENSMUSG00000023045,-0.04804292074068334,8.595376106930604e-47,9.186038374404835e-47,-0.05458571515793612,-0.04149600095010733,Soat2
ENSMUSG00000051695,-0.04807555628699992,7.46416241339422e-47,7.977941869809984e-47,-0.05461832873252184,-0.04152865567876851,Pcbp1
ENSMUSG00000033544,-0.04819683415863579,4.414475710249454e-47,4.718840951629561e-47,-0.05473952483206091,-0.04165000495701624,Angptl1
ENSMUSG00000042985,-0.048217840297729936,4.030065872906169e-47,4.308387719591799e-47,-0.054760516788093225,-0.041671023483838,Upk3b
ENSMUSG00000018217,-0.04822612229804714,3.8878322254490743e-47,4.1567756072373297e-47,-0.05476879319492586,-0.04167931036980409,Pmp22
ENSMUSG00000006585,-0.04824020858760129,3.6572995181590633e-47,3.9107137704865943e-47,-0.05478286996883863,-0.04169340497109407,Cdt1
ENSMUSG00000005580,-0.048266228188153716,3.2666584749076576e-47,3.493378756183999e-47,-0.05480887198566043,-0.041719439931586555,Adcy9
ENSMUSG00000028081,-0.04829953340736093,2.826651763670364e-47,3.023156966492368e-47,-0.054842154684655676,-0.04175276482456725,Rps3a1
ENSMUSG00000032652,-0.04843052638054142,1.5985656818842095e-47,1.7098787911907257e-47,-0.054973058942401384,-0.041883835318105515,Crebl2
ENSMUSG00000025980,-0.048559201366056716,9.118392606604859e-48,9.754378055846019e-48,-0.05510164656337739,-0.042012586671603507,Hspd1
ENSMUSG00000108322,-0.04856934852574475,8.722964490859995e-48,9.33236812973146e-48,-0.055111786824367945,-0.042022739862831004,Gm45123
ENSMUSG00000019763,-0.04859607683495806,7.761185767781963e-48,8.304286077233001e-48,-0.05513849695548339,-0.04204948406600132,Rmnd1
ENSMUSG00000057554,-0.04869129854850159,5.116238589829169e-48,5.47542657301923e-48,-0.05523365383201641,-0.042144762479268794,Lgals8
ENSMUSG00000006221,-0.04882824105366959,2.8058221306843327e-48,3.0031276149891174e-48,-0.05537050288389351,-0.042281786735540276,Hspb7
ENSMUSG00000049537,-0.04899030226117694,1.3752181437394692e-48,1.472081078719192e-48,-0.05553245317886598,-0.042443945007530376,Tecrl
