,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000106357,-0.028430546466941688,1.9538070097959584e-17,2.099513227805672e-17,-0.03498401952660565,-0.02187462844920531,Gm8013
ENSMUSG00000033633,-0.028601867833609754,1.25527794786532e-17,1.3496161142514998e-17,-0.03515526944454967,-0.022046006555426958,Clec18a
ENSMUSG00000042846,-0.02865808301745963,1.0850440881894431e-17,1.1669650335442494e-17,-0.035211461100278424,-0.02210224044101478,Lrrtm3
ENSMUSG00000074272,-0.02872642301425223,9.085317831994168e-18,9.773362555931765e-18,-0.03527977243846447,-0.022170603229111786,Ceacam1
ENSMUSG00000062210,-0.0287879638916195,7.740174292907861e-18,8.328141051116701e-18,-0.035341287456056615,-0.022232164682746882,Tnfaip8
ENSMUSG00000026175,-0.028938815632298293,5.2186094273720086e-18,5.61563480832025e-18,-0.0354920755980496,-0.022383067071181387,Vil1
ENSMUSG00000021047,-0.028965564384323413,4.865275076399744e-18,5.236546202130819e-18,-0.03551881304172841,-0.022409824835153257,Nova1
ENSMUSG00000006235,-0.029000819635270122,4.435425545801261e-18,4.775436634152951e-18,-0.035554053373776213,-0.022445091978326625,Epor
ENSMUSG00000028518,-0.029034660610823326,4.058165803602766e-18,4.369727364706328e-18,-0.03558788001357707,-0.022478944384393334,Prkaa2
ENSMUSG00000029828,-0.029037280998052636,4.030311700654825e-18,4.34020213294726e-18,-0.0355904992901286,-0.022481565657341582,4921507P07Rik
ENSMUSG00000037492,-0.029088947571918978,3.518096624982563e-18,3.7890109046661955e-18,-0.03564214394620381,-0.022533249713472456,Zmat4
ENSMUSG00000099398,-0.02937678719929816,1.6427193617911918e-18,1.7697903057435807e-18,-0.035929860826716786,-0.02282118737769345,Ms4a14
ENSMUSG00000030986,-0.029457497815715317,1.3251060262972433e-18,1.427762122936368e-18,-0.03601053682973627,-0.022901925679009488,Dhx32
ENSMUSG00000034151,-0.02954246687004497,1.0561947022810626e-18,1.138386184825461e-18,-0.03609546935211103,-0.022986923971342187,Zbbx
ENSMUSG00000097347,-0.02960030485677106,9.047576907337201e-19,9.752696892677807e-19,-0.036153282417578675,-0.023044781914435212,Gm17275
ENSMUSG00000031442,-0.029716531917264366,6.623379061024793e-19,7.140339651816293e-19,-0.036269459265469706,-0.02316104921059639,Mcf2l
ENSMUSG00000040838,-0.02973157972261394,6.3606970556726725e-19,6.8578943996470865e-19,-0.03628450055689163,-0.023176102238184674,Gm11639
ENSMUSG00000048349,-0.029837486102996025,4.781524672072681e-19,5.155838550865518e-19,-0.036390361008303285,-0.023282045456735272,Pou4f1
ENSMUSG00000038521,-0.02989690017585901,4.0723723226070644e-19,4.392118553286307e-19,-0.036449749250362394,-0.023341480260486942,C1s1
ENSMUSG00000063646,-0.029897470274964824,4.066098001784009e-19,4.385824616313244e-19,-0.03645031910138829,-0.02334205055873744,Jakmip1
ENSMUSG00000016756,-0.029973148216981778,3.312653410141454e-19,3.574677252769455e-19,-0.03652596407414821,-0.023417754974137,Cmah
ENSMUSG00000005883,-0.030034466844392232,2.8047881093365245e-19,3.0276210161231915e-19,-0.03658725593289568,-0.023479095106943834,Spo11
