,Cardiac_1_corr,Cardiac_1_pval,Cardiac_1_qval,Cardiac_1_ci_low,Cardiac_1_ci_high,gene_annotation
ENSMUSG00000026750,-0.015646825077882745,0.0016044236072561135,0.002082569833748459,-0.025363336922217688,-0.005927357158629826,Psmb7
ENSMUSG00000097886,-0.01564826848124986,0.0016028234657245349,0.0020806028196293106,-0.025364779750262512,-0.005928800864757952,Gsg1l2
ENSMUSG00000015755,-0.015649688457137746,0.0016012507291304763,0.0020786711733522686,-0.02536619916012651,-0.005930221138532359,Tab2
ENSMUSG00000109464,-0.015652606201869167,0.001598023551246338,0.0020745914884835073,-0.025369115741677734,-0.005933139495479506,Gm45103
ENSMUSG00000033819,-0.015655722003691086,0.001594583923067205,0.0020702355496349228,-0.025372230301179913,-0.005936255951257282,Ppp1r16a
ENSMUSG00000020930,-0.015656971267783284,0.0015932067375667679,0.0020685569445129184,-0.02537347906711768,-0.005937505477602613,Ccdc103
ENSMUSG00000044197,-0.015661858412892953,0.001587829674656574,0.002061684603742567,-0.02537836426314628,-0.005942393648943184,Gpr146
ENSMUSG00000110217,-0.015666484719875747,0.0015827549952451415,0.0020555303170197684,-0.025382988724647348,-0.005947020927812556,Gm45408
ENSMUSG00000029270,-0.01566803119938827,0.0015810619666098559,0.00205344019277429,-0.02538453458716045,-0.005948567732299646,Fam69a
ENSMUSG00000066687,-0.01566858033141849,0.001580461198373237,0.0020527685204708096,-0.025385083500092106,-0.005949116979734725,Zbtb16
ENSMUSG00000036106,-0.01567143382813839,0.0015773427625287804,0.0020488265530423564,-0.025387935858199102,-0.005951971076236125,Prr5
ENSMUSG00000052221,-0.01567248948396529,0.0015761905282572152,0.002047438222833244,-0.02538899109275418,-0.005953026953993306,Ppp1r36
ENSMUSG00000066442,-0.01568141001070003,0.0015664847884812277,0.0020350460091428705,-0.02539790805878371,-0.005961949356953712,Mthfs
ENSMUSG00000021514,-0.015682177973971534,0.0015656518044887037,0.002034071494539457,-0.025398675715443766,-0.0059627174818208065,Zfp369
ENSMUSG00000037101,-0.01568400253211025,0.0015636744027416332,0.0020316099876230395,-0.02540049954507667,-0.005964542423930847,Ttc29
ENSMUSG00000075202,-0.01568528089227661,0.001562290324348381,0.002029919138622008,-0.02540177739478348,-0.005965821053161814,Olfr1042
ENSMUSG00000069266,-0.015689236220997844,0.001558015038051641,0.0020244713000393696,-0.02540573114390888,-0.0059697772145875785,Hist1h4b
ENSMUSG00000033187,-0.0156893239986733,0.0015579202821022085,0.0020244553173586017,-0.025405818886526082,-0.005969865010746079,BC016579
ENSMUSG00000029049,-0.01569863877536878,0.0015478950926074034,0.002011747409544067,-0.025415129942065587,-0.005979181749673858,Morn1
ENSMUSG00000051788,-0.015699562381237257,0.0015469042899741462,0.0020105661263867254,-0.025416053178871304,-0.00598010555019926,4930564D02Rik
ENSMUSG00000038352,-0.015701771833846752,0.0015445364582664443,0.0020075948500904092,-0.02541826174854055,-0.005982315468534918,Arl5c
ENSMUSG00000021987,-0.015703253792765347,0.001542950139469081,0.0020056391266542184,-0.025419743115186372,-0.005983797739885905,Mtmr6
ENSMUSG00000020014,-0.015704474592078046,0.0015416444984095966,0.002004048060832976,-0.025420963426568084,-0.005985018796604393,Cfap54
ENSMUSG00000029352,-0.015707576499898616,0.001538331593354504,0.001999847362069246,-0.025424064094482984,-0.005988121358593253,Crybb3
