,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000072763,0.014083298802503528,0.004514460649614453,0.0051172757306897,0.004363526718602017,0.0238004100768403,5430403G16Rik
ENSMUSG00000030203,0.014082707174856234,0.0045161493320900505,0.005118609692950301,0.004362934984858871,0.023799818667022903,Dusp16
ENSMUSG00000021464,0.014079615937560696,0.004524981958526498,0.00512803939089585,0.004359843193326293,0.023796728567771673,Ror2
ENSMUSG00000070871,0.014076249436556254,0.004534618897298089,0.005137837718065869,0.004356476088943355,0.023793363305939133,Ccnyl1
ENSMUSG00000025537,0.014070798874824713,0.004550261086905272,0.005154934957409394,0.004351024550774084,0.023787914750032356,Phkg1
ENSMUSG00000051403,0.014006106085855025,0.00473968691606058,0.005368316815109956,0.004286320216574782,0.023723245724136678,Ppp1r37
ENSMUSG00000024096,0.01396148920688638,0.004874457266532356,0.005519086578954207,0.004241695422593048,0.023678645186538984,Ralbp1
ENSMUSG00000060601,0.0139523978535251,0.004902340243096329,0.005548772204976038,0.004232602461177762,0.02366955715823144,Nr1h2
ENSMUSG00000087259,0.013915696194850112,0.0050163761023295774,0.005677202469816181,0.004195894327154535,0.023632868906420447,2610035D17Rik
ENSMUSG00000034684,0.013879282179681325,0.005131883046004496,0.005805297563353502,0.004159473913274948,0.023596468167174544,Sema3f
ENSMUSG00000050954,0.013856993310410435,0.005203764898635864,0.005885946045284317,0.004137181140101717,0.023574187411329595,Zfp169
ENSMUSG00000002076,0.013851186149875492,0.005222641830282817,0.005906629529838066,0.00413137296402726,0.023568382363088225,Hsf2bp
ENSMUSG00000097927,0.013827260534971408,0.005301069365044408,0.00599397259729128,0.0041074431719974975,0.02354446544396357,Gm6999
ENSMUSG00000101365,0.01382426650746283,0.005310958226994052,0.006004475101180387,0.004104448622551278,0.023541472503853078,Gm19325
ENSMUSG00000027748,0.013817533802321733,0.005333256309150431,0.006028321814344332,0.0040977147443595745,0.023534742243320687,Trpc4
ENSMUSG00000021373,0.013772838373465157,0.005483439344169609,0.006195976660078655,0.004053011550492982,0.023490063020799697,Cap2
ENSMUSG00000049122,0.01375087028770063,0.0055586453907790195,0.00628024561154561,0.004031039662416523,0.023468102886323408,Frmd3
ENSMUSG00000085271,0.013739978777241167,0.005596275661739165,0.006322046612900096,0.004020146270296818,0.023457215314539103,E130006D01Rik
ENSMUSG00000035914,0.013724192866253945,0.005651224147904519,0.006382679182182651,0.004004357636168211,0.023441435108087834,Cd276
ENSMUSG00000055489,0.013714806556907641,0.005684126798701259,0.006419115526483636,0.003994969709938265,0.02343205218836548,Ano5
ENSMUSG00000059995,0.01368686125751742,0.00578311134627967,0.0065286874534654215,0.0039670196068405435,0.023404116970564933,Atxn7l3
ENSMUSG00000032220,0.013663860921247632,0.00586574347568693,0.0066204779635292655,0.003944015328280062,0.023381124920547842,Myo1e
ENSMUSG00000053007,0.013643472437751363,0.005939880324321121,0.006701128524730507,0.003923623358769986,0.023360743773746268,9430076C15Rik
ENSMUSG00000036882,0.013641353337004015,0.005947634062745183,0.0067091190781107535,0.003921503896163499,0.023358625435083425,Arhgap33
ENSMUSG00000078926,0.013624553748691098,0.006009426828614814,0.0067772942693298905,0.0039047014422313596,0.023341831885257555,Cdc20b
ENSMUSG00000010755,0.013606835403189152,0.006075225140492018,0.006850727492661275,0.003886980080338359,0.02332411990254104,Cars
ENSMUSG00000032186,0.013586759951503003,0.006150560318493249,0.006934897190769252,0.0038669012183620904,0.023304051652722625,Tmod2
ENSMUSG00000020325,0.01357423901096197,0.0061979713357866815,0.0069859911359182614,0.0038543781548117132,0.023291535199978626,Fstl3
ENSMUSG00000037525,0.013572675395885,0.006203915076919242,0.006991902487230071,0.0038528142748274685,0.02328997214512379,Bcdin3d
ENSMUSG00000000530,0.013544181625661447,0.006313130545845486,0.007112585112489282,0.003824315685523977,0.023261488575511857,Acvrl1
ENSMUSG00000009900,0.01351098401502654,0.0064425559281355415,0.0072567649562238585,0.0037911124801737546,0.023228302829539697,Wnt3a
ENSMUSG00000004360,0.01350426246766995,0.006469049556895547,0.007285786188642355,0.0037843898026595196,0.023221583681824188,9330159F19Rik
ENSMUSG00000026626,0.01344075452614462,0.006724251583106065,0.00756979802218402,0.0037208712263074096,0.023158098369760908,Ppp2r5a
