,Mixed_2_corr,Mixed_2_pval,Mixed_2_qval,Mixed_2_ci_low,Mixed_2_ci_high,gene_annotation
ENSMUSG00000109739,0.6633694630043628,0.0,0.0,0.6578913058257787,0.6687774243542977,Gm17949
ENSMUSG00000055762,0.6624510234023498,0.0,0.0,0.6569610023777622,0.6678707933516614,Eef1d
ENSMUSG00000029610,0.6619854647704956,0.0,0.0,0.6564894363268706,0.6674112143762797,Aimp2
ENSMUSG00000023944,0.6607926650866903,0.0,0.0,0.6552812647408727,0.6662337162067967,Hsp90ab1
ENSMUSG00000036781,0.6592000773761396,0.0,0.0,0.653668196918388,0.6646615162900695,Rps27l
ENSMUSG00000020496,0.6584975514175181,0.0,0.0,0.6529566527023358,0.6639679684681582,Rnf187
ENSMUSG00000035960,0.6570804970214282,0.0,0.0,0.6515214374773155,0.66256899509501,Apex1
ENSMUSG00000079523,0.656787942673731,0.0,0.0,0.6512251387376659,0.6622801688495485,Tmsb10
ENSMUSG00000029623,0.6551906069375422,0.0,0.0,0.6496073886720342,0.6607031596248866,Pdap1
ENSMUSG00000019471,0.6537360083775501,0.0,0.0,0.6481342439805574,0.6592670288749503,Cdc37
ENSMUSG00000040952,0.6533325666624602,0.0,0.0,0.6477256658102047,0.6588687021701755,Rps19
ENSMUSG00000044221,0.6530781354678744,0.0,0.0,0.6474679969597587,0.6586174951691609,Grsf1
ENSMUSG00000022205,0.6524731343302004,0.0,0.0,0.6468553022888087,0.6580201557458387,Sub1
ENSMUSG00000061360,0.6497267721407832,0.0,0.0,0.6440741070001963,0.6553084856166913,Phf5a
ENSMUSG00000063888,0.6482251011193747,0.0,0.0,0.6425534529375654,0.6538257228697454,Rpl7l1
ENSMUSG00000055302,0.6481340778739252,0.0,0.0,0.6424612804779873,0.6537358443597805,Mrfap1
ENSMUSG00000003923,0.648096918461286,0.0,0.0,0.6424236519563072,0.6536991522295669,Tfam
ENSMUSG00000012405,0.6442926469911245,0.0,0.0,0.6385714992328747,0.6499425803683012,Rpl15
ENSMUSG00000034259,0.6429680117221234,0.0,0.0,0.6372302591545,0.6486344891454912,Exosc4
ENSMUSG00000007039,0.6428096486902176,0.0,0.0,0.6370699133074621,0.6484781017500068,Ddah2
ENSMUSG00000005732,0.6426916498478662,0.0,0.0,0.6369504373606335,0.6483615746750442,Ranbp1
ENSMUSG00000044502,0.6426132932142498,0.0,0.0,0.6368711000143977,0.6482841952155822,Bod1
ENSMUSG00000009013,0.6418166177449319,0.0,0.0,0.6360644602489247,0.6474974483196607,Dynll1
ENSMUSG00000030744,0.6406050061414563,0.0,0.0,0.6348377186973898,0.6463009132210318,Rps3
ENSMUSG00000027566,0.6381482005846153,0.0,0.0,0.632350323139568,0.6438745925685283,Psma7
ENSMUSG00000109511,0.6378496272637223,0.0,0.0,0.6320480403908353,0.643579716201148,Nup62
ENSMUSG00000016344,0.6373742465386066,0.0,0.0,0.6315667572539311,0.6431102181595552,Ppdpf
ENSMUSG00000032803,0.6370548841307692,0.0,0.0,0.6312434320988659,0.64279480533715,Cdv3
ENSMUSG00000014226,0.6358993940391898,0.0,0.0,0.6300736212050387,0.6416535890421461,Cacybp
ENSMUSG00000019837,0.6347984300888446,0.0,0.0,0.6289590368324429,0.6405662016221542,Gtf3c6
ENSMUSG00000008301,0.634654089089568,0.0,0.0,0.6288129119184047,0.6404236388479487,Phax
ENSMUSG00000031490,0.6340402541170055,0.0,0.0,0.6281914951490314,0.6398173616432186,Eif4ebp1
ENSMUSG00000053565,0.6338419590484747,0.0,0.0,0.6279907524289323,0.639621506521764,Eif3k
ENSMUSG00000044018,0.6336552599133436,0.0,0.0,0.627801749488115,0.6394371039642006,Mrpl50
ENSMUSG00000020089,0.633628462119183,0.0,0.0,0.6277746210746699,0.6394106357538946,Ppa1
ENSMUSG00000076437,0.6329410729791553,0.0,0.0,0.6270787560934207,0.6387316960716071,Selenoh
ENSMUSG00000051695,0.632078303396248,0.0,0.0,0.6262053613854087,0.637879518978714,Pcbp1
ENSMUSG00000029581,0.6305630804570715,0.0,0.0,0.6246715139433578,0.6363828645183847,Fscn1
ENSMUSG00000030591,0.6305082139792675,0.0,0.0,0.6246159739220518,0.6363286695862627,Psmd8
ENSMUSG00000025465,0.6300141169236527,0.0,0.0,0.6241158139927606,0.6358406175100002,Echs1
ENSMUSG00000001864,0.6266771081966634,0.0,0.0,0.6207379846888816,0.6325443130654838,Aif1l
ENSMUSG00000023147,0.6249118515500509,0.0,0.0,0.6189512233756825,0.6308005027690755,Wrb
ENSMUSG00000037070,0.6242267065135404,0.0,0.0,0.6182577484009555,0.6301236656317154,Rbmxl1
ENSMUSG00000004667,0.6222936076963258,0.0,0.0,0.6163011972230187,0.628213958783188,Polr2e
ENSMUSG00000030512,0.6220544423529808,0.0,0.0,0.6160591354673891,0.627977682563806,Snrpa1
ENSMUSG00000014349,0.6213212424914344,0.0,0.0,0.6153170632442767,0.6272533329716615,Ube2z
ENSMUSG00000023004,0.6205168144729674,0.0,0.0,0.6145029131836219,0.62645860319271,Tuba1b
ENSMUSG00000033307,0.6198911080636047,0.0,0.0,0.6138696535570839,0.6258404318009708,Mif
ENSMUSG00000024847,0.6169291604181247,0.0,0.0,0.6108720559204702,0.6229140517240075,Aip
ENSMUSG00000062006,0.6146149850760942,0.0,0.0,0.6085301480072753,0.6206275488281446,Rpl34
ENSMUSG00000032199,0.61163867018178,0.0,0.0,0.6055183214253791,0.6176866737779071,Polr2m
ENSMUSG00000031948,0.6111591132231597,0.0,0.0,0.6050330590663963,0.6172128112193613,Kars
ENSMUSG00000001525,0.6093553637291524,0.0,0.0,0.6032078906974359,0.6154304406510699,Tubb5
ENSMUSG00000031988,0.6083444411816872,0.0,0.0,0.6021849919625818,0.6144314728845991,Vps26b
ENSMUSG00000014846,0.606814596710537,0.0,0.0,0.6006370622021621,0.6129196826482803,Tppp3
ENSMUSG00000032330,0.6064026246556736,0.0,0.0,0.6002202278715691,0.6125125647818672,Cox7a2
